Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,FVt6PVtaeKHpUqSkYCcGACtbzB2AFKgQirSEcUGZxeAPtSh3ZqoA3tY81YEkX1bJgZKJo1VFkCisp55rMRGhEVg,1681489621,2023-04-14T16:27:01,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-1499.99,3478.91,1978.92,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2Na921Hcrcwyp3XqZVRv1yL5LKr9n5YFf9sGNwxXiwNHMjBdunQv9Z4cx4eocTuPpDV81JadhkdaE6cyCdkFjzYs,1681489453,2023-04-14T16:24:13,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-0.01,3478.92,3478.91,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,4htQNtCQnUrNgZ65Rk12D68jrTEz1jBAjaMxZSUmieM3ae9YXHXh4ijeuW4RQmqpcfck8JExxwcNe6LcspqNNZn4,1681487966,2023-04-14T15:59:26,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,1,2,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,5fNqAP95kidpBR14uSqwE128KooZA6wWJReAWvih13vzYP1rFZMVapqksSRbdAJ4rV16CEVriLMAj8do4g5MQYh7,1681448014,2023-04-14T04:53:34,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,600,2878.92,3478.92,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3mdj2eW1gTmS1F67ZMYjWTsAnxYi6BfRB4TmnyiyUn9vaQyF1EQzb1EV4kWysdyzcGXNvPiqPsgABKmH56gosLca,1681191633,2023-04-11T05:40:33,0.000005,A6oqnfMdqLWUvstF7B3DzGcFrSC3yJZqoiKZNwnHL2FM,inc,100,,100,PhiLR4JDZB9z92rYT5xBXKCxmq4pGB1LYjtybii7aiS,Phil Overdrive | Youtube,POVT,,,
TokenChange,4QKw6FzpxeKVYkJnX6ggRgBX6W7HctjThD1jTqCKUGJjGSmGbk5HQHqghBZvaQtJMzFiErcv8yq5t3xcf8RApcRA,1680777177,2023-04-06T10:32:57,0.000005,4cqG977FAKozGTj5QTUV3HrkguEhBWXvvcRnE3KcPY5X,inc,1,,1,4dCRUbWBfxs9tLp9Sar4Qz1aUkcGnLeKfmv5T2vgWJbF,Rауdium аlрhа рrоgrаm,,,,
TokenChange,SiGAWhBujbSGTnGtGpBiArrYAgTqaxw2D3KtHyXK4HXgHhm3Mnx3Ht7wvJmCKEBVTMrbXQqikHpXuKMaHaS6urg,1680775124,2023-04-06T09:58:44,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,600,2278.92,2878.92,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3G71xMypUyqBqxmS3ygEhDkHZ25cT6Wg4JELmvxDaARWbk2Pymm46BPieQyr4W7nVKa5DoroPdMiQKbfVCmgfLjv,1680136196,2023-03-30T00:29:56,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2278.92,0,2278.92,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,dMCSFdGHDvda1wjfPB8wfWoE3uC1GH5datAt1zdsFthjkLnCEtn5jvJhyMXxRhb7i7HjKwg5Zv9paKJND8FZisi,1680092955,2023-03-29T12:29:15,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,0,,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
SolTransfer,5aug7Sw3bxsTjjhYDrqNYt3o87gGh99JoH1t7HKMionZspt2UaAMK1XY8d3hehBu2PKELcsuakz9xDFzmLVwXPtK,1682979897,2023-05-01T22:24:57,0.000005,,,,,,,Solana,SOL,79bNYp1i3ZjDh9wzgVdP9QJcct3fUQYoJ7NAbHcFuWmS,MNY4qy8XSg8oBSsSxNjGD6oyVMqbZoHswnQxrA8Uj9w,0.1
SolTransfer,61EQQPDd4qvEe8jG1sLMT4Nu7QwTNhQsRwscqj6SrGDKxYAThbMCFR8A6BiSE8xMFCKfJjJKBZB5VQn3XniN9qbh,1682346368,2023-04-24T14:26:08,0.000005,,,,,,,Solana,SOL,RLBxmPBK19xyHRGgb2tR2jvaeA36FaSRoNaQNnJBB9P,79bNYp1i3ZjDh9wzgVdP9QJcct3fUQYoJ7NAbHcFuWmS,0.00001
SolTransfer,42mg9hzDHhwxT54AYRDAtzZ3fdg8A98sXZFFTt7UhWmLGtwyGmpowkjQARdsErAvRS2itxJ1i5nKTseFJdTSgGxB,1682346341,2023-04-24T14:25:41,0.000005,,,,,,,Solana,SOL,RAY65uds7cZakn1F1JrqknVsg6jTHsqqKLWRy8TEx1N,79bNYp1i3ZjDh9wzgVdP9QJcct3fUQYoJ7NAbHcFuWmS,0.00001
SolTransfer,5UsUj3JL6JWCGpXpiH6xxbpua9EhtJGvEviyH5uGyY5ZCYXBANhkR55bGcznZjrdBXGZuLysaTP79SyJWpjmRVh6,1680611345,2023-04-04T12:29:05,0.000005,,,,,,,Solana,SOL,79bNYp1i3ZjDh9wzgVdP9QJcct3fUQYoJ7NAbHcFuWmS,5h5aJFFLwpiWLzYkJ3fP7cWoqtXkFqmVhNr8o9kJ6Med,0.2
SolTransfer,94gNg4JUDSyAthKah8D9ZPXUpQUyLT5oz5gfBm45oTct6ufAtQjY5e1HSGF2WxKcm7UHQNgcVes1xfnH856ia2u,1680136223,2023-03-30T00:30:23,0.000005,,,,,,,Solana,SOL,F1LSPHSisbjysM8XyeFGm9xTPoqJ6thBK7j5Ec3ZihKD,79bNYp1i3ZjDh9wzgVdP9QJcct3fUQYoJ7NAbHcFuWmS,1
